Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
RGL3,-0.1726,0.0559,-3.0897,2.17E-03,0.8342
ZNF540,-0.1692,0.0549,-3.0809,2.24E-03,0.8342
IL1B,0.1826,0.0594,3.0755,2.28E-03,0.8342
LOC440356,-0.1945,0.0633,-3.0702,2.32E-03,0.8342
C17orf69,-0.1652,0.054,-3.0584,2.41E-03,0.8342
DFNB59,-0.1676,0.0548,-3.0572,2.42E-03,0.8342
FPR2,0.1775,0.0581,3.0529,2.45E-03,0.8342
C6orf124,-0.1728,0.0569,-3.0391,2.56E-03,0.8342
PRCD,-0.1814,0.0598,-3.0359,2.59E-03,0.8342
CCDC130,-0.1601,0.053,-3.0203,2.72E-03,0.8342
LOC149134,-0.1957,0.0649,-3.0139,2.78E-03,0.8342
NR2C2AP,-0.1485,0.0493,-3.013,2.79E-03,0.8342
FOXD4,-0.1819,0.0604,-3.0097,2.82E-03,0.8342
ATP6AP1L,-0.1661,0.0552,-3.0084,2.83E-03,0.8342
GSR,0.1578,0.0526,3.0006,2.90E-03,0.8342
DNAJC3,0.132,0.0441,2.9942,2.96E-03,0.8342
ENO3,-0.1769,0.0591,-2.9939,2.96E-03,0.8342
AGER,-0.1764,0.059,-2.9897,3.00E-03,0.8342
NANOS3,-0.1817,0.061,-2.9768,3.13E-03,0.8342
FLJ45244,-0.1651,0.0555,-2.9732,3.17E-03,0.8342
FLJ39653,-0.1759,0.0592,-2.9724,3.17E-03,0.8342
FPR3,0.1554,0.0525,2.9601,3.30E-03,0.8342
ZNF682,-0.1581,0.0535,-2.9549,3.35E-03,0.8342
LDLRAD2,-0.1996,0.0677,-2.9506,3.40E-03,0.8342
CHI3L1,0.1913,0.0651,2.9389,3.53E-03,0.8342
MST1,-0.1787,0.0609,-2.9356,3.56E-03,0.8342
NSUN5P2,-0.1636,0.0558,-2.9346,3.57E-03,0.8342
PLBD2,0.1546,0.0527,2.9316,3.61E-03,0.8342
ZNF534,-0.1464,0.0501,-2.9217,3.72E-03,0.8342
EGFL8,-0.1732,0.0593,-2.9216,3.72E-03,0.8342
MEFV,0.1758,0.0602,2.9195,3.75E-03,0.8342
TMOD4,-0.1934,0.0663,-2.9148,3.80E-03,0.8342
ZNF10,-0.1543,0.053,-2.9141,3.81E-03,0.8342
ANKFY1,0.124,0.0426,2.9132,3.82E-03,0.8342
ZNF37B,-0.1486,0.0511,-2.9112,3.85E-03,0.8342
CYLD,0.1305,0.0448,2.9106,3.85E-03,0.8342
TPP1,0.1435,0.0494,2.9026,3.95E-03,0.8342
BRP44L,0.1484,0.0513,2.8911,4.09E-03,0.8342
UTS2D,-0.1858,0.0643,-2.8881,4.13E-03,0.8342
ZNF443,-0.1565,0.0542,-2.8874,4.14E-03,0.8342
SPAG9,0.1265,0.0438,2.8856,4.17E-03,0.8342
VARS2,-0.1443,0.05,-2.8854,4.17E-03,0.8342
ASCC3,0.1306,0.0453,2.8806,4.23E-03,0.8342
PGM3,0.131,0.0455,2.8801,4.24E-03,0.8342
C22orf36,-0.1908,0.0662,-2.88,4.24E-03,0.8342
MIPOL1,-0.15,0.0521,-2.8795,4.24E-03,0.8342
MAP1LC3B,0.1266,0.044,2.8783,4.26E-03,0.8342
FCGR2A,0.1495,0.052,2.8772,4.27E-03,0.8342
CCL4,0.1633,0.0568,2.8749,4.31E-03,0.8342
PLEKHB2,0.1265,0.044,2.8723,4.34E-03,0.8342
SURF4,0.1285,0.045,2.8545,4.58E-03,0.8342
CNKSR1,-0.1465,0.0514,-2.8494,4.66E-03,0.8342
LOC284900,-0.142,0.0501,-2.8345,4.87E-03,0.8342
SLC2A6,0.1754,0.0619,2.8345,4.87E-03,0.8342
NDEL1,0.1195,0.0422,2.8304,4.93E-03,0.8342
PCDHGB7,0.1659,0.0587,2.8267,4.99E-03,0.8342
CORO1C,0.1218,0.0431,2.8247,5.02E-03,0.8342
GYS1,0.1375,0.0487,2.8243,5.03E-03,0.8342
MYBPH,0.1844,0.0654,2.8179,5.13E-03,0.8342
GTF2H1,0.1155,0.0411,2.8072,5.29E-03,0.8342
CCRN4L,0.1595,0.0569,2.8015,5.39E-03,0.8342
CAP1,0.1135,0.0405,2.8006,5.40E-03,0.8342
WDR83,-0.1509,0.0539,-2.7999,5.41E-03,0.8342
KIAA0513,0.1556,0.0557,2.795,5.50E-03,0.8342
CDK3,-0.1507,0.0539,-2.7928,5.53E-03,0.8342
PDE11A,-0.1723,0.0618,-2.7877,5.62E-03,0.8342
FAM193B,-0.1488,0.0535,-2.7826,5.70E-03,0.8342
ZBTB48,-0.1414,0.0508,-2.7822,5.71E-03,0.8342
DRD2,-0.1702,0.0612,-2.7803,5.74E-03,0.8342
ZNF839,-0.1205,0.0434,-2.7768,5.80E-03,0.8342
GLB1L2,-0.1868,0.0674,-2.7709,5.91E-03,0.8342
DNAJA3,0.1217,0.0439,2.7702,5.92E-03,0.8342
LOC100270746,-0.1475,0.0533,-2.7688,5.95E-03,0.8342
NFKB1,0.1222,0.0441,2.7686,5.95E-03,0.8342
ZNF233,-0.1587,0.0573,-2.7681,5.96E-03,0.8342
CCR1,0.1535,0.0556,2.7619,6.07E-03,0.8342
SYS1,0.1211,0.0439,2.7594,6.11E-03,0.8342
ZNF577,-0.1478,0.0537,-2.7539,6.22E-03,0.8342
C14orf79,-0.1286,0.0467,-2.7534,6.23E-03,0.8342
GAS2,-0.1659,0.0603,-2.7526,6.24E-03,0.8342
STAT3,0.1317,0.0478,2.7517,6.26E-03,0.8342
MST1P2,-0.1761,0.064,-2.7498,6.29E-03,0.8342
SEC24B,0.1094,0.0398,2.747,6.35E-03,0.8342
AGAP4,-0.1744,0.0636,-2.7439,6.41E-03,0.8342
LILRA5,0.1619,0.0591,2.7394,6.49E-03,0.8342
TMEM66,0.1271,0.0464,2.7385,6.51E-03,0.8342
BGLAP,-0.165,0.0603,-2.7374,6.53E-03,0.8342
RNF111,0.1196,0.0437,2.7347,6.58E-03,0.8342
ZNF137,-0.1377,0.0504,-2.7332,6.61E-03,0.8342
LOC387647,0.1327,0.0486,2.7286,6.70E-03,0.8342
C17orf82,-0.1624,0.0596,-2.7261,6.75E-03,0.8342
NSUN5P1,-0.1786,0.0655,-2.7248,6.78E-03,0.8342
KLHDC7A,0.1666,0.0613,2.7178,6.92E-03,0.8342
EIF4A2,-0.1119,0.0412,-2.7178,6.92E-03,0.8342
LOC388796,-0.1553,0.0572,-2.7165,6.95E-03,0.8342
FAM113A,-0.1363,0.0502,-2.716,6.96E-03,0.8342
RAB40A,-0.1637,0.0604,-2.7117,7.05E-03,0.8342
DMAP1,-0.132,0.0488,-2.7051,7.18E-03,0.8342
RNF182,-0.1557,0.0576,-2.7042,7.20E-03,0.8342
ZNF763,-0.1361,0.0504,-2.7012,7.27E-03,0.8342
DLD,0.116,0.0429,2.7008,7.28E-03,0.8342
LOC338799,-0.1512,0.056,-2.7007,7.28E-03,0.8342
IL1RN,0.1724,0.0639,2.7003,7.29E-03,0.8342
NCRNA00174,-0.1503,0.0557,-2.6994,7.31E-03,0.8342
MSH5,-0.1496,0.0554,-2.6987,7.32E-03,0.8342
GLI4,-0.165,0.0611,-2.6982,7.33E-03,0.8342
OXER1,-0.1583,0.0588,-2.6933,7.44E-03,0.8342
MPEG1,0.1509,0.0561,2.6928,7.45E-03,0.8342
MPZ,-0.1575,0.0585,-2.6928,7.45E-03,0.8342
PLEK,0.1442,0.0536,2.6908,7.49E-03,0.8342
FLJ13197,-0.1448,0.0539,-2.6871,7.57E-03,0.8342
FAM22A,-0.1719,0.0641,-2.6825,7.68E-03,0.8342
BZRAP1,-0.1432,0.0534,-2.6814,7.70E-03,0.8342
CCDC14,-0.1317,0.0492,-2.6754,7.84E-03,0.8342
ASAH1,0.1252,0.0468,2.6753,7.84E-03,0.8342
EXD1,-0.1609,0.0601,-2.6753,7.84E-03,0.8342
GPR34,0.1449,0.0542,2.6741,7.87E-03,0.8342
CCHCR1,-0.1405,0.0527,-2.6681,8.00E-03,0.8342
AGFG1,0.1143,0.0429,2.6665,8.04E-03,0.8342
MMP3,0.171,0.0642,2.6624,8.14E-03,0.8342
C3orf71,-0.1443,0.0542,-2.6622,8.14E-03,0.8342
WASH5P,-0.1791,0.0673,-2.6619,8.15E-03,0.8342
NT5C1B,-0.1763,0.0663,-2.661,8.17E-03,0.8342
DNAH17,-0.1409,0.053,-2.6574,8.26E-03,0.8342
TDRD10,-0.1589,0.0598,-2.6559,8.29E-03,0.8342
CD44,0.1521,0.0573,2.6554,8.31E-03,0.8342
ALKBH6,-0.147,0.0555,-2.6506,8.42E-03,0.8342
JAK1,0.123,0.0464,2.6497,8.45E-03,0.8342
ZNF34,-0.1355,0.0512,-2.6485,8.47E-03,0.8342
LOC729234,-0.1556,0.0588,-2.6478,8.49E-03,0.8342
MTA1,-0.1355,0.0512,-2.6457,8.54E-03,0.8342
NRP1,0.1388,0.0525,2.6456,8.55E-03,0.8342
AKAP10,0.1179,0.0446,2.6442,8.58E-03,0.8342
GPR180,0.1112,0.0421,2.6392,8.71E-03,0.8342
CD300A,0.1534,0.0581,2.6387,8.72E-03,0.8342
APBB2,-0.1304,0.0495,-2.6356,8.80E-03,0.8342
ATXN7L2,-0.1399,0.0531,-2.6352,8.81E-03,0.8342
COL4A3BP,0.1219,0.0463,2.6336,8.85E-03,0.8342
MAP1LC3B2,0.1433,0.0545,2.6272,9.01E-03,0.8342
ACO1,0.1225,0.0466,2.6259,9.04E-03,0.8342
SAGE1,0.1576,0.0602,2.6183,9.24E-03,0.8342
SLC16A13,0.1492,0.057,2.6169,9.28E-03,0.8342
ZNF193,-0.1227,0.047,-2.6115,9.43E-03,0.8342
ZNF187,-0.1134,0.0435,-2.6075,9.54E-03,0.8342
MPDU1,0.1238,0.0475,2.6071,9.55E-03,0.8342
CSF2RB,0.1457,0.0559,2.6066,9.56E-03,0.8342
CD59,0.1318,0.0506,2.6043,9.62E-03,0.8342
TNFRSF10A,0.1448,0.0556,2.6022,9.68E-03,0.8342
KIAA1875,-0.1573,0.0605,-2.5999,9.75E-03,0.8342
TMEM106A,0.1452,0.0559,2.5983,9.79E-03,0.8342
YME1L1,0.1052,0.0405,2.5981,9.80E-03,0.8342
ZNF692,-0.1468,0.0565,-2.597,9.83E-03,0.8342
C10orf68,-0.162,0.0624,-2.5969,9.83E-03,0.8342
GEMIN8P4,0.1261,0.0486,2.5961,9.85E-03,0.8342
EIF2AK3,0.1153,0.0444,2.5945,9.90E-03,0.8342
ZNF529,-0.1143,0.0441,-2.5929,9.94E-03,0.8342
FAM125A,-0.1301,0.0502,-2.5913,9.99E-03,0.8342
HKR1,-0.1155,0.0447,-2.5867,1.01E-02,0.8342
PFKFB3,0.1554,0.0601,2.5859,1.01E-02,0.8342
DIO3,0.1575,0.0609,2.585,1.02E-02,0.8342
ANXA6,0.1342,0.0519,2.584,1.02E-02,0.8342
FXYD6,-0.147,0.0569,-2.5819,1.03E-02,0.8342
TTLL3,-0.1425,0.0552,-2.5812,1.03E-02,0.8342
NSUN6,-0.1174,0.0455,-2.5807,1.03E-02,0.8342
COX4I2,-0.1552,0.0602,-2.5791,1.03E-02,0.8342
C1orf159,-0.138,0.0535,-2.5776,1.04E-02,0.8342
LINS1,0.1184,0.0461,2.5714,1.06E-02,0.8342
SIGLEC7,0.148,0.0576,2.5705,1.06E-02,0.8342
C10orf11,-0.1549,0.0603,-2.5685,1.07E-02,0.8342
LOC100288778,-0.1574,0.0613,-2.5685,1.07E-02,0.8342
ARHGAP33,-0.1487,0.0579,-2.568,1.07E-02,0.8342
CD53,0.1395,0.0543,2.5678,1.07E-02,0.8342
SPPL2A,0.1143,0.0445,2.5677,1.07E-02,0.8342
HEATR3,0.1178,0.0459,2.5674,1.07E-02,0.8342
ARFGEF2,0.1126,0.0439,2.5669,1.07E-02,0.8342
QTRT1,-0.1487,0.058,-2.5644,1.08E-02,0.8342
MFSD9,0.1253,0.0489,2.5619,1.09E-02,0.8342
VPS18,0.1307,0.051,2.5613,1.09E-02,0.8342
ALOX5AP,0.1497,0.0585,2.5602,1.09E-02,0.8342
EMX2,-0.1564,0.0611,-2.5584,1.10E-02,0.8342
DCST2,-0.1631,0.0637,-2.5581,1.10E-02,0.8342
SNX19,0.1034,0.0404,2.5578,1.10E-02,0.8342
SCXB,-0.1692,0.0662,-2.5573,1.10E-02,0.8342
HPS4,-0.1281,0.0501,-2.5559,1.10E-02,0.8342
TMEM180,-0.1512,0.0592,-2.5551,1.11E-02,0.8342
C17orf39,0.1051,0.0411,2.5549,1.11E-02,0.8342
C2orf18,0.1367,0.0535,2.5545,1.11E-02,0.8342
STK10,0.1291,0.0506,2.552,1.12E-02,0.8342
HLA-DPA1,0.1568,0.0615,2.5511,1.12E-02,0.8342
C3orf19,-0.1174,0.046,-2.5509,1.12E-02,0.8342
FBXO43,-0.1372,0.0539,-2.546,1.14E-02,0.8342
PCDH20,-0.1529,0.0601,-2.545,1.14E-02,0.8342
CAB39,0.1035,0.0407,2.5448,1.14E-02,0.8342
RGL2,-0.1232,0.0484,-2.5446,1.14E-02,0.8342
ODZ2,0.1562,0.0614,2.5436,1.14E-02,0.8342
AHSA2,-0.1331,0.0524,-2.5429,1.15E-02,0.8342
LOC100130331,0.1683,0.0662,2.5427,1.15E-02,0.8342
NANP,0.1093,0.043,2.54,1.15E-02,0.8342
SUGT1L1,-0.1576,0.0621,-2.5359,1.17E-02,0.8342
MTF1,0.1155,0.0456,2.5343,1.17E-02,0.8342
MAP2K1,0.1094,0.0432,2.533,1.18E-02,0.8342
Mar-01,0.1219,0.0481,2.5329,1.18E-02,0.8342
CD68,0.1476,0.0583,2.5302,1.19E-02,0.8342
C6orf211,0.1202,0.0475,2.5298,1.19E-02,0.8342
GNAO1,0.1565,0.0619,2.5297,1.19E-02,0.8342
YDJC,-0.1369,0.0542,-2.5281,1.19E-02,0.8342
SPTY2D1,0.1069,0.0423,2.5269,1.20E-02,0.8342
TSKU,0.1508,0.0598,2.5237,1.21E-02,0.8342
ACAT1,0.1254,0.0498,2.5208,1.22E-02,0.8342
KDM6A,0.1145,0.0454,2.5196,1.22E-02,0.8342
SLC38A7,0.1299,0.0516,2.5195,1.22E-02,0.8342
SPAG17,-0.1588,0.063,-2.5195,1.22E-02,0.8342
SLC18A3,0.1521,0.0605,2.5147,1.24E-02,0.8342
DNAJC4,-0.1383,0.055,-2.5139,1.24E-02,0.8342
DENND4A,0.1172,0.0466,2.5126,1.25E-02,0.8342
CDC42EP3,-0.1166,0.0464,-2.511,1.25E-02,0.8342
NCOR1,0.1185,0.0472,2.5103,1.25E-02,0.8342
TLR8,0.1413,0.0563,2.5084,1.26E-02,0.8342
CXorf21,0.1388,0.0554,2.5064,1.27E-02,0.8342
GMPPB,0.1431,0.0572,2.5029,1.28E-02,0.8342
WDR70,-0.1033,0.0413,-2.4999,1.29E-02,0.8342
WDR88,-0.1405,0.0562,-2.498,1.30E-02,0.8342
STK39,0.1349,0.0541,2.4961,1.30E-02,0.8342
IGF2R,0.1205,0.0483,2.4959,1.31E-02,0.8342
FANCL,-0.118,0.0473,-2.4948,1.31E-02,0.8342
AMACR,-0.1224,0.0492,-2.4899,1.33E-02,0.8342
SEC24D,0.1243,0.0499,2.4893,1.33E-02,0.8342
RRAGD,0.1469,0.0591,2.4853,1.34E-02,0.8342
HDAC8,-0.1091,0.0441,-2.4753,1.38E-02,0.8342
CUEDC1,0.1363,0.0551,2.4743,1.39E-02,0.8342
ZNF503,-0.1309,0.0529,-2.4743,1.39E-02,0.8342
N4BP1,0.1116,0.0451,2.4729,1.39E-02,0.8342
LOC143188,-0.142,0.0575,-2.4712,1.40E-02,0.8342
REN,0.1585,0.0643,2.4653,1.42E-02,0.8342
WDFY4,0.1494,0.0607,2.4622,1.43E-02,0.8342
XPO4,0.1025,0.0416,2.4615,1.43E-02,0.8342
PLIN3,0.1205,0.049,2.4605,1.44E-02,0.8342
FAS,0.126,0.0512,2.4599,1.44E-02,0.8342
SETDB1,-0.1106,0.045,-2.4599,1.44E-02,0.8342
NCRNA00204B,-0.1577,0.0642,-2.4582,1.45E-02,0.8342
COPB1,0.0983,0.04,2.4581,1.45E-02,0.8342
SLC31A1,0.1095,0.0446,2.4544,1.46E-02,0.8342
ACCS,-0.1367,0.0557,-2.4538,1.47E-02,0.8342
KRTAP3-2,-0.1215,0.0495,-2.4535,1.47E-02,0.8342
SYT16,0.1361,0.0555,2.4531,1.47E-02,0.8342
AKAP3,-0.1453,0.0592,-2.4523,1.47E-02,0.8342
HSPBAP1,-0.1072,0.0437,-2.4522,1.47E-02,0.8342
ITGB3BP,-0.1223,0.0499,-2.4518,1.47E-02,0.8342
EBI3,0.1534,0.0626,2.4513,1.48E-02,0.8342
TMCO6,-0.1196,0.0489,-2.4462,1.50E-02,0.8342
C6orf134,-0.1154,0.0472,-2.4447,1.50E-02,0.8342
YPEL1,-0.1222,0.05,-2.4432,1.51E-02,0.8342
MATN3,-0.1386,0.0567,-2.4431,1.51E-02,0.8342
C16orf57,0.1082,0.0443,2.4428,1.51E-02,0.8342
C19orf38,0.1364,0.0558,2.4419,1.51E-02,0.8342
CLIP4,0.126,0.0516,2.441,1.52E-02,0.8342
VRK3,0.1109,0.0455,2.4391,1.53E-02,0.8342
EHD4,0.1163,0.0477,2.4388,1.53E-02,0.8342
ZNF691,-0.1043,0.0428,-2.4383,1.53E-02,0.8342
COLQ,-0.1424,0.0584,-2.438,1.53E-02,0.8342
DDX11,-0.1365,0.056,-2.4379,1.53E-02,0.8342
EMX2OS,-0.1541,0.0633,-2.4341,1.55E-02,0.8342
SEC24A,0.1113,0.0457,2.4333,1.55E-02,0.8342
NEK6,0.1215,0.05,2.4323,1.55E-02,0.8342
WDR69,0.1367,0.0562,2.4313,1.56E-02,0.8342
C12orf47,-0.1049,0.0432,-2.4308,1.56E-02,0.8342
ECHDC3,0.15,0.0617,2.4302,1.56E-02,0.8342
LYN,0.1186,0.0488,2.4294,1.57E-02,0.8342
RNASEN,-0.1039,0.0428,-2.4274,1.57E-02,0.8342
DENND5A,0.1115,0.046,2.4258,1.58E-02,0.8342
ZNF383,-0.1029,0.0424,-2.4257,1.58E-02,0.8342
GCLM,0.1188,0.049,2.4255,1.58E-02,0.8342
ZNF799,-0.1243,0.0513,-2.4239,1.59E-02,0.8342
TLR10,0.151,0.0623,2.4234,1.59E-02,0.8342
C10orf128,0.1411,0.0583,2.4222,1.60E-02,0.8342
MOAP1,0.1129,0.0466,2.4218,1.60E-02,0.8342
TNNI1,-0.1418,0.0586,-2.4207,1.60E-02,0.8342
MTL5,-0.122,0.0504,-2.4202,1.61E-02,0.8342
ITPRIPL2,0.1228,0.0508,2.4195,1.61E-02,0.8342
HCK,0.1406,0.0581,2.4195,1.61E-02,0.8342
GAN,0.1297,0.0536,2.4182,1.61E-02,0.8342
CC2D1A,-0.1245,0.0515,-2.4176,1.62E-02,0.8342
MTM1,0.1095,0.0454,2.4135,1.63E-02,0.8342
TMEM184B,0.1206,0.05,2.4128,1.64E-02,0.8342
ZNF84,-0.1131,0.0469,-2.4124,1.64E-02,0.8342
ASPSCR1,-0.1402,0.0582,-2.4098,1.65E-02,0.8342
UOX,-0.1229,0.051,-2.4091,1.65E-02,0.8342
FAM83G,0.1281,0.0532,2.409,1.65E-02,0.8342
AKAP8L,-0.1174,0.0487,-2.4087,1.66E-02,0.8342
DPF3,0.1437,0.0597,2.4064,1.67E-02,0.8342
PI4KAP1,-0.1438,0.0598,-2.4059,1.67E-02,0.8342
KCNK3,0.1413,0.0587,2.4058,1.67E-02,0.8342
ADAM10,0.1153,0.0479,2.4054,1.67E-02,0.8342
GARNL3,-0.1347,0.056,-2.403,1.68E-02,0.8342
IGSF6,0.1379,0.0575,2.4001,1.69E-02,0.8342
TPH1,-0.1499,0.0626,-2.3966,1.71E-02,0.8342
MBL1P,-0.142,0.0593,-2.394,1.72E-02,0.8342
CXXC1,-0.1205,0.0503,-2.3936,1.72E-02,0.8342
FRAT1,-0.1124,0.047,-2.3932,1.73E-02,0.8342
CD180,0.144,0.0602,2.3928,1.73E-02,0.8342
KATNAL2,-0.1354,0.0566,-2.3924,1.73E-02,0.8342
LOC728606,-0.1479,0.0618,-2.3923,1.73E-02,0.8342
ZNF815,-0.1315,0.055,-2.3915,1.73E-02,0.8342
PMFBP1,-0.1456,0.061,-2.3894,1.74E-02,0.8342
ZNF43,-0.1216,0.0509,-2.3889,1.75E-02,0.8342
SLC25A24,0.1046,0.0438,2.3888,1.75E-02,0.8342
PLA2G6,-0.1342,0.0562,-2.3884,1.75E-02,0.8342
SLC34A2,0.1533,0.0642,2.3871,1.75E-02,0.8342
HLA-DPB1,0.1467,0.0614,2.3871,1.75E-02,0.8342
SLC25A27,-0.1276,0.0535,-2.3846,1.77E-02,0.8342
C3AR1,0.1324,0.0555,2.3833,1.77E-02,0.8342
CD82,0.1373,0.0576,2.3829,1.77E-02,0.8342
DNAJA1,0.1034,0.0434,2.3827,1.78E-02,0.8342
GPR120,0.1509,0.0633,2.3821,1.78E-02,0.8342
CHADL,-0.1437,0.0603,-2.3815,1.78E-02,0.8342
NMUR1,-0.1516,0.0637,-2.38,1.79E-02,0.8342
ENO1,0.1203,0.0506,2.3771,1.80E-02,0.8342
PNPLA8,0.1021,0.043,2.3763,1.81E-02,0.8342
HLA-DOA,0.1404,0.0591,2.376,1.81E-02,0.8342
TNFRSF12A,0.1328,0.0559,2.376,1.81E-02,0.8342
AURKC,-0.1352,0.0569,-2.3759,1.81E-02,0.8342
MEGF11,0.1608,0.0677,2.3742,1.82E-02,0.8342
UBAP1,0.0934,0.0394,2.3741,1.82E-02,0.8342
NOD2,0.1397,0.0589,2.3726,1.82E-02,0.8342
ITGB2,0.1382,0.0583,2.3711,1.83E-02,0.8342
APBB3,-0.1341,0.0566,-2.3695,1.84E-02,0.8342
UBN1,0.099,0.0418,2.3691,1.84E-02,0.8342
C14orf147,0.1084,0.0458,2.3686,1.84E-02,0.8342
HLA-DRA,0.143,0.0604,2.3685,1.84E-02,0.8342
FLCN,0.1025,0.0433,2.3683,1.84E-02,0.8342
VILL,-0.1424,0.0602,-2.3663,1.85E-02,0.8342
BTBD11,0.1448,0.0613,2.3647,1.86E-02,0.8342
TAS2R5,-0.1401,0.0593,-2.3644,1.86E-02,0.8342
IL4R,0.1343,0.0568,2.3638,1.87E-02,0.8342
CAPZA2,0.1026,0.0434,2.3638,1.87E-02,0.8342
ALAS1,0.1144,0.0484,2.3625,1.87E-02,0.8342
RPS6KA2,0.1206,0.0511,2.3619,1.88E-02,0.8342
ZNF69,-0.1457,0.0617,-2.3613,1.88E-02,0.8342
LRRFIP1,0.1084,0.0459,2.3612,1.88E-02,0.8342
HSD17B7P2,-0.1437,0.0608,-2.361,1.88E-02,0.8342
PDPK1,0.1075,0.0456,2.3595,1.89E-02,0.8342
KCNN2,-0.1467,0.0622,-2.358,1.90E-02,0.8342
HCN3,-0.1383,0.0587,-2.3557,1.91E-02,0.8342
SNAI1,0.1292,0.0549,2.3542,1.91E-02,0.8342
SF4,-0.1118,0.0475,-2.3541,1.92E-02,0.8342
PLEKHG4B,-0.1378,0.0586,-2.3529,1.92E-02,0.8342
TBC1D9,0.1112,0.0473,2.3527,1.92E-02,0.8342
USP10,0.0969,0.0412,2.3522,1.93E-02,0.8342
FRS3,-0.1163,0.0494,-2.3516,1.93E-02,0.8342
MS4A6A,0.1281,0.0545,2.3513,1.93E-02,0.8342
PABPN1,-0.1165,0.0496,-2.3512,1.93E-02,0.8342
ANP32E,-0.1189,0.0506,-2.3509,1.93E-02,0.8342
SPON1,0.1377,0.0586,2.3508,1.93E-02,0.8342
PPIL3,-0.1124,0.0478,-2.3504,1.93E-02,0.8342
LOC374491,-0.1442,0.0613,-2.35,1.94E-02,0.8342
LOC100130238,0.1399,0.0595,2.3499,1.94E-02,0.8342
ZNF653,-0.1207,0.0514,-2.3488,1.94E-02,0.8342
PCNX,0.0949,0.0404,2.3478,1.95E-02,0.8342
UBASH3B,0.1395,0.0595,2.3442,1.97E-02,0.8342
IDH3A,0.1007,0.043,2.3422,1.98E-02,0.8342
ITFG1,0.1072,0.0458,2.3415,1.98E-02,0.8342
PIK3CG,0.1302,0.0556,2.3414,1.98E-02,0.8342
DOCK2,0.1317,0.0562,2.3414,1.98E-02,0.8342
CSAD,-0.1364,0.0582,-2.3412,1.98E-02,0.8342
PTPN9,0.0969,0.0414,2.3392,1.99E-02,0.8342
